=== TOP 120 CUMULATIVE ===
         75213680 function calls (71746190 primitive calls) in 105.090 seconds

   Ordered by: cumulative time
   List reduced from 3007 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   406944    0.735    0.000    4.341    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:291(get_transient_key)
    17037    0.175    0.000    4.270    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:1347(header_exists)
    13320    0.054    0.000    4.205    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1205(_getbool_axis)
     8991    0.027    0.000    4.197    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:416(data_factory)
    29599    0.219    0.000    4.126    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\frame.py:4062(__getitem__)
   452601    0.331    0.000    3.924    0.000 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdatascalar.py:115(get_data)
    16560    0.055    0.000    3.862    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4142(_take_with_is_copy)
    16560    0.207    0.000    3.723    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4027(take)
        4    0.000    0.000    3.667    0.917 C:\codes\HydroModPy-GH\launchers\process_simulation\launcher.py:657(_run_setup)
    22472    0.305    0.000    3.519    0.000 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:1313(_get_header)
        4    0.000    0.000    3.476    0.869 C:\codes\HydroModPy-GH\launchers\process_simulation\launcher.py:457(_build_geographic_runtime)
        4    0.000    0.000    3.475    0.869 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:335(build_synthetic_geographic)
        4    0.000    0.000    3.475    0.869 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:108(__init__)
        4    0.001    0.000    3.472    0.868 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:132(_build)
    12960    0.121    0.000    3.423    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:12678(_inplace_method)
    26047    0.174    0.000    3.392    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\series.py:6201(_construct_result)
        4    0.023    0.006    3.300    0.825 C:\codes\HydroModPy-GH\hydromodpy\spatial\geographic\synthetic\synthetic_geographic.py:255(_write_polygons_and_contour)
     4860    0.020    0.000    3.234    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\frame.py:5433(drop)
  1034185    3.226    0.000    3.226    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     4860    0.043    0.000    3.213    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4757(drop)
     4860    0.082    0.000    3.159    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\generic.py:4796(_drop_axis)
       20    0.000    0.000    3.101    0.155 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\geopandas\geodataframe.py:1530(to_file)
       20    0.002    0.000    3.101    0.155 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\geopandas\io\file.py:614(_to_file)
      270    0.017    0.000    3.093    0.011 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:1329(_add_missing_block_headers)
       20    0.001    0.000    3.080    0.154 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\geopandas\io\file.py:775(_to_file_pyogrio)
       20    0.003    0.000    3.079    0.154 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pyogrio\geopandas.py:528(write_dataframe)
    16560    0.099    0.000    3.078    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\internals\managers.py:869(take)
   131083    0.249    0.000    3.064    0.000 C:\Python312\Lib\site-packages\flopy\utils\binaryfile\__init__.py:168(binaryread)
       20    2.986    0.149    2.989    0.149 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pyogrio\raw.py:595(write)
    21420    0.143    0.000    2.867    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\internals\managers.py:623(reindex_indexer)
3049515/867456    2.114    0.000    2.768    0.000 C:\Python312\Lib\site-packages\flopy\utils\datautil.py:240(next_item)
    12995    0.041    0.000    2.734    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\series.py:6133(_arith_method)
    32636    0.434    0.000    2.702    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexes\base.py:475(__new__)
    12995    0.196    0.000    2.681    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\base.py:1371(_arith_method)
    21424    0.482    0.000    2.626    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\internals\managers.py:708(_slice_take_blocks_ax0)
    85033    0.661    0.000    2.593    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\construction.py:517(sanitize_array)
    12960    0.069    0.000    2.536    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\series.py:6239(_flex_method)
     6561    0.038    0.000    2.500    0.000 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:670(_build_repeating_header)
    12960    0.258    0.000    2.458    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:2348(_align_series)



=== TOP 120 INTERNAL TIME ===
         75213680 function calls (71746190 primitive calls) in 105.090 seconds

   Ordered by: internal time
   List reduced from 3007 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2511   18.008    0.007   18.008    0.007 {method 'readline' of '_io.BufferedReader' objects}
17967236/17872860    3.760    0.000    5.151    0.000 {built-in method builtins.isinstance}
  1034185    3.226    0.000    3.226    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       20    2.986    0.149    2.989    0.149 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pyogrio\raw.py:595(write)
   823696    2.453    0.000    7.150    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\_methods.py:119(_mean)
     1620    2.364    0.001   10.032    0.006 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow_common\solver_mesh.py:112(cell_centroids)
3049515/867456    2.114    0.000    2.768    0.000 C:\Python312\Lib\site-packages\flopy\utils\datautil.py:240(next_item)
      301    1.825    0.006    1.825    0.006 {method 'close' of '_io.TextIOWrapper' objects}
   823706    1.669    0.000    1.844    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\_methods.py:77(_count_reduce_items)
    80203    1.449    0.000    1.522    0.000 {built-in method numpy.fromfile}
      196    1.240    0.006    1.240    0.006 {method '__exit__' of '_io._IOBase' objects}
     3456    1.223    0.000    6.201    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mffileaccess.py:516(get_data_string)
      685    1.168    0.002    1.173    0.002 {built-in method _io.open}
