comparison_id,observable,variable,support,unit,variant_id,variant_label,comparison_time_key,time,time_index,elapsed_seconds,value_index,value
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:7,7,7,,0,116.9078448186447
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:8,8,8,,0,116.67300115070964
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:9,9,9,,0,118.59925155893679
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:10,10,10,,0,127.25869496719423
ex12_multi_method_moderate,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:11,11,11,,0,136.0652278819549
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:0,0,0,,0,121.00265904662545
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:1,1,1,,0,125.85806575425744
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:2,2,2,,0,128.70240147510071
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:3,3,3,,0,125.21070609431013
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:4,4,4,,0,121.36456230309535
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:5,5,5,,0,116.71582047031612
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:6,6,6,,0,113.12099548723972
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:7,7,7,,0,112.17678972495429
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:8,8,8,,0,112.18045217983024
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:9,9,9,,0,114.5811877272346
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:10,10,10,,0,122.91401170020872
ex12_multi_method_moderate,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:11,11,11,,0,125.89234491387283
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:0,0,0,,0,0.0018493586063146835
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:1,1,1,,0,0.002758383881731222
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:2,2,2,,0,0.0030242616760491675
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:3,3,3,,0,0.0019696806232056573
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:4,4,4,,0,0.001699453878679284
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:5,5,5,,0,0.0009287322271181694
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:6,6,6,,0,0.00042146140414218926
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:7,7,7,,0,0.00033694497155301126
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:8,8,8,,0,0.0003335684763064077
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:9,9,9,,0,0.000545686324304712
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:10,10,10,,0,0.0018572523422088196
ex12_multi_method_moderate,outlet_flux_series,outlet_flux,outlet,m3/s,mf6_mod_tri,MF6 annual moderate on committed triangular mesh,time_index:11,11,11,,0,0.00348273797308443
