site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,source_selection_id,site_status,maturity,enabled,tags,outlet_id,x,y,area_km2,mesh_manifest_status,mesh_output_mesh,mesh_summary_json,mesh_bundle_dir,mesh_figure,mesh_figure_regional,notes
s3_10km2_outlet_32,Strahler 3 10 km2 outlet 32,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,32,256575.0,6770700.0,10.00125,,,,,,,
s3_10km2_outlet_33,Strahler 3 10 km2 outlet 33,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,33,330000.0,6773100.0,10.00125,,,,,,,
s3_10km2_outlet_34,Strahler 3 10 km2 outlet 34,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,34,383100.0,6754875.0,10.00125,,,,,,,
s3_10km2_outlet_35,Strahler 3 10 km2 outlet 35,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,35,324825.0,6735225.0,10.00125,,,,,,,
s3_10km2_outlet_36,Strahler 3 10 km2 outlet 36,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,36,425325.0,6715275.0,10.00125,,,,,,,
s3_10km2_outlet_37,Strahler 3 10 km2 outlet 37,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,37,311925.0,6701325.0,10.00125,,,,,,,
s3_10km2_outlet_38,Strahler 3 10 km2 outlet 38,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,38,335925.0,6689775.0,10.00125,,,,,,,
s3_10km2_outlet_39,Strahler 3 10 km2 outlet 39,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,39,371700.0,6633375.0,10.00125,,,,,,,
s3_10km2_outlet_40,Strahler 3 10 km2 outlet 40,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,40,439725.0,6664125.0,10.00125,,,,,,,
s3_10km2_outlet_41,Strahler 3 10 km2 outlet 41,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,41,339000.0,6606825.0,10.00125,,,,,,,
s3_10km2_outlet_42,Strahler 3 10 km2 outlet 42,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,42,402150.0,6615825.0,10.00125,,,,,,,
s3_10km2_outlet_43,Strahler 3 10 km2 outlet 43,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,43,443625.0,6623925.0,10.00125,,,,,,,
s3_10km2_outlet_44,Strahler 3 10 km2 outlet 44,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening,44,369525.0,6912675.0,9.995625,,,,,,,
