site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,source_selection_id,site_status,maturity,enabled,tags,outlet_id,x,y,area_km2,mesh_manifest_status,mesh_output_mesh,mesh_summary_json,mesh_bundle_dir,mesh_figure,mesh_figure_regional,bundle_cell_count,bundle_missing_top_centroid_count,bundle_missing_bottom_centroid_count,bundle_missing_hydraulic_conductivity_count,bundle_missing_storage_coefficient_count,bundle_invalid_vertical_geometry_count,bundle_storage_default_value,bundle_boussinesq_steady_ready,bundle_boussinesq_transient_ready,notes
headwater_100km2_outlet_47,Headwater 100 km2 outlet 47,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,47,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_48,Headwater 100 km2 outlet 48,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,48,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_49,Headwater 100 km2 outlet 49,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,49,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_51,Headwater 100 km2 outlet 51,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,51,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_50,Headwater 100 km2 outlet 50,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,50,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_52,Headwater 100 km2 outlet 52,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,52,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_53,Headwater 100 km2 outlet 53,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,53,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_54,Headwater 100 km2 outlet 54,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,54,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_55,Headwater 100 km2 outlet 55,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,55,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_56,Headwater 100 km2 outlet 56,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,56,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_57,Headwater 100 km2 outlet 57,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,57,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_58,Headwater 100 km2 outlet 58,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,58,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_59,Headwater 100 km2 outlet 59,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,59,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_60,Headwater 100 km2 outlet 60,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,60,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_61,Headwater 100 km2 outlet 61,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,61,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_62,Headwater 100 km2 outlet 62,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,62,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_63,Headwater 100 km2 outlet 63,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,63,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_64,Headwater 100 km2 outlet 64,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,64,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_65,Headwater 100 km2 outlet 65,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,65,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_66,Headwater 100 km2 outlet 66,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,66,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_67,Headwater 100 km2 outlet 67,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,67,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_68,Headwater 100 km2 outlet 68,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,68,,,,,,,,,,,,,,,,,,,
