comparison_id,observable,variable,support,unit,comparison_time_key,time,time_index,elapsed_seconds,value_index,value__boussinesq_petsc_mixed,value__boussinesq_petsc_partition,value__boussinesq_scipy_sparse,value__mf6_heterogeneous_10day
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:16416000,19,19,16416000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:17280000,20,20,17280000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:18144000,21,21,18144000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:19008000,22,22,19008000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:19872000,23,23,19872000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:20736000,24,24,20736000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:21600000,25,25,21600000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:22464000,26,26,22464000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:23328000,27,27,23328000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:24192000,28,28,24192000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:25056000,29,29,25056000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:25920000,30,30,25920000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:26784000,31,31,26784000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:27648000,32,32,27648000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:28512000,33,33,28512000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:29376000,34,34,29376000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:30240000,35,35,30240000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:31104000,36,36,31104000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,elapsed_seconds:31968000,37,37,31968000.0,0,0.0,0.0,0.0,
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:0,0,0,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:1,1,1,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:2,2,2,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:3,3,3,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:4,4,4,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:5,5,5,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:6,6,6,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:7,7,7,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:8,8,8,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:9,9,9,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:10,10,10,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:11,11,11,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:12,12,12,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:13,13,13,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:14,14,14,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:15,15,15,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:16,16,16,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:17,17,17,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:18,18,18,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:19,19,19,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:20,20,20,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:21,21,21,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:22,22,22,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:23,23,23,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:24,24,24,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:25,25,25,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:26,26,26,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:27,27,27,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:28,28,28,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:29,29,29,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:30,30,30,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:31,31,31,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:32,32,32,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:33,33,33,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:34,34,34,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:35,35,35,,0,,,,0.0
review_10day_heterogeneous_boussinesq_vs_mf6,outlet_flux_series,outlet_flux,outlet,m3/s,time_index:36,36,36,,0,,,,0.0
