solver,solver_label,elapsed_days,recharge_mm_day,recharge_flux_m3_day,drainage_flux_m3_day,east_boundary_outflow_m3_day,total_outflow_m3_day,storage_balance_m3_day,max_clearance_m,accumulation_proxy_m3_day,surface_excess_flux_m3_day
boussinesq,Boussinesq,285.0,2.4,28.799999999999997,0.0,5.795795695300009,42.51966017135,-13.71966017135,-6.8064170513082445e-06,,36.72386447604999
boussinesq,Boussinesq,300.0,2.4,28.799999999999997,0.0,5.795795695300009,41.81028780435172,-13.01028780435172,-5.004155865684368e-06,,36.01449210905171
boussinesq,Boussinesq,315.0,1.2,14.399999999999999,0.0,5.795795695300009,31.150444608134677,-16.75044460813468,-4.240165019986364e-06,,25.35464891283467
boussinesq,Boussinesq,330.0,1.2,14.399999999999999,0.0,5.795795695300009,30.300765158607476,-15.900765158607477,-3.592751671277483e-06,,24.504969463307468
boussinesq,Boussinesq,345.0,0.6,7.199999999999999,0.0,5.795795695300009,26.270197036157878,-19.07019703615788,-3.3024020469341053e-06,,20.47440134085787
boussinesq,Boussinesq,360.0,0.6,7.199999999999999,0.0,5.795795695300009,25.72137553380963,-18.521375533809632,-3.045334442397518e-06,,19.925579838509623
boussinesq,Boussinesq,375.0,0.0,0.0,0.0,5.795795695300009,23.711445064308506,-23.711445064308506,-0.001348893052641742,,17.9156493690085
boussinesq,Boussinesq,390.0,0.0,0.0,0.0,5.795795695300009,22.805593649694345,-22.805593649694345,-0.002803845324355514,,17.009797954394337
boussinesq,Boussinesq,405.0,0.0,0.0,0.0,5.795795695300009,21.949331254750124,-21.949331254750124,-0.004179343652584322,,16.153535559450116
boussinesq,Boussinesq,420.0,0.0,0.0,0.0,5.795795695300009,21.155135746977326,-21.155135746977326,-0.005455306889322387,,15.359340051677318
boussinesq,Boussinesq,435.0,0.0,0.0,5.2335735745145935e-12,5.795795695243837,20.42233595171273,-20.42233595171273,-0.006632775459899598,,14.62654025646366
boussinesq,Boussinesq,450.0,0.0,0.0,5.018705451220741e-12,5.795795695246142,19.74761065840901,-19.74761065840901,-0.007717052020986159,,13.951814963157847
boussinesq,Boussinesq,465.0,0.0,0.0,9.976020010071807e-14,5.795795695321812,19.126895644567483,-19.126895644567483,-0.008714638430883603,,13.331099949245573
boussinesq,Boussinesq,480.0,0.0,0.0,9.745804163685536e-13,5.795795695311434,18.55598698555466,-18.55598698555466,-0.009632266067355566,,12.760191290242252
boussinesq,Boussinesq,495.0,0.0,0.0,4.565947619994404e-12,5.795795695270748,18.030801469561226,-18.030801469561226,-0.010476476762291576,,12.235005774285911
boussinesq,Boussinesq,510.0,0.0,0.0,1.6882495401659982e-13,5.795795695308976,17.547494712939937,-17.547494712939937,-0.011253432323743873,,11.751699017630791
boussinesq,Boussinesq,525.0,0.0,0.0,7.673861546209083e-15,5.795795695305934,17.102508121413166,-17.102508121413166,-0.011968838436631657,,11.306712426107223
boussinesq,Boussinesq,540.0,0.0,0.0,0.0,5.795795695303546,16.692578807643656,-16.692578807643656,-0.012627928173137626,,10.896783112340112
boussinesq,Boussinesq,555.0,0.0,0.0,1.1664269550237804e-12,5.795795695287489,16.314730634117595,-16.314730634117595,-0.01323547591515073,,10.518934938828941
boussinesq,Boussinesq,570.0,0.0,0.0,4.6043169277254495e-14,5.795795695299515,15.96625629324804,-15.96625629324804,-0.013795825761306446,,10.17046059794848
boussinesq,Boussinesq,585.0,0.0,0.0,0.0,5.795795695300009,15.644695815837025,-15.644695815837025,-0.014312925741160498,,9.848900120537017
boussinesq,Boussinesq,600.0,0.0,0.0,0.0,5.795795695300009,15.347814396602583,-15.347814396602583,-0.01479036318694682,,9.552018701302575
boussinesq,Boussinesq,615.0,0.0,0.0,0.0,5.795795695300009,15.073580989691287,-15.073580989691287,-0.015231398914944627,,9.277785294391277
boussinesq,Boussinesq,630.0,0.0,0.0,0.0,5.795795695300009,14.820148380979994,-14.820148380979994,-0.015638999073670057,,9.024352685679984
boussinesq,Boussinesq,645.0,0.0,0.0,0.0,5.795795695300009,14.585834983815534,-14.585834983815534,-0.016015864254728562,,8.790039288515526
boussinesq,Boussinesq,660.0,0.0,0.0,0.0,5.795795695300009,14.369108409646056,-14.369108409646056,-0.016364455777705622,,8.573312714346049
boussinesq,Boussinesq,675.0,0.0,0.0,0.0,5.795795695300009,14.168570729222669,-14.168570729222669,-0.016687019279732596,,8.372775033922661
boussinesq,Boussinesq,690.0,0.0,0.0,0.0,5.795795695300009,13.982945294471637,-13.982945294471637,-0.016985605814519467,,8.187149599171628
boussinesq,Boussinesq,705.0,0.0,0.0,0.0,5.795795695300009,13.81106497784824,-13.81106497784824,-0.01726209068775031,,8.015269282548232
boussinesq,Boussinesq,720.0,0.0,0.0,0.0,5.795795695300009,13.651861675522401,-13.651861675522401,-0.017518190273150935,,7.856065980222393
