X	Y	Z	facies
214563	6.76138e+06	-400.0	6666.0
214571	6.7614e+06	-400.0	6666.0
214579	6.76143e+06	-400.0	6666.0
214586	6.76145e+06	-400.0	6666.0
214594	6.76147e+06	-400.0	6666.0
214602	6.7615e+06	-400.0	6666.0
214610	6.76152e+06	-400.0	6666.0
214617	6.76154e+06	-400.0	6666.0
214625	6.76157e+06	-400.0	6666.0
214633	6.76159e+06	-400.0	6666.0
214640	6.76162e+06	-400.0	6666.0
214648	6.76164e+06	-400.0	6666.0
214656	6.76166e+06	-400.0	6666.0
214664	6.76169e+06	-400.0	6666.0
214671	6.76171e+06	-400.0	3333.0
214679	6.76173e+06	-400.0	3333.0
214687	6.76176e+06	-400.0	3333.0
214694	6.76178e+06	-400.0	3333.0
214702	6.76181e+06	-400.0	3333.0
214710	6.76183e+06	-400.0	3333.0
214718	6.76185e+06	-400.0	3333.0
214725	6.76188e+06	-400.0	3333.0
214733	6.7619e+06	-400.0	3333.0
214741	6.76192e+06	-400.0	3333.0
214748	6.76195e+06	-400.0	3333.0
214756	6.76197e+06	-400.0	3333.0
214764	6.762e+06	-400.0	3333.0
214772	6.76202e+06	-400.0	3333.0
214779	6.76204e+06	-400.0	3333.0
214787	6.76207e+06	-400.0	3333.0
214795	6.76209e+06	-400.0	3333.0
214803	6.76211e+06	-400.0	3333.0
214810	6.76214e+06	-400.0	3333.0
214818	6.76216e+06	-400.0	3333.0
214826	6.76219e+06	-400.0	3333.0
214833	6.76221e+06	-400.0	3333.0
214841	6.76223e+06	-400.0	3333.0
214849	6.76226e+06	-400.0	3333.0
214857	6.76228e+06	-400.0	3333.0
214864	6.7623e+06	-400.0	3333.0
214872	6.76233e+06	-400.0	3333.0
214880	6.76235e+06	-400.0	3333.0
214887	6.76238e+06	-400.0	3333.0
214895	6.7624e+06	-400.0	3333.0
214903	6.76242e+06	-400.0	3333.0
214911	6.76245e+06	-400.0	3333.0
214918	6.76247e+06	-400.0	3333.0
214926	6.76249e+06	-400.0	3333.0
214934	6.76252e+06	-400.0	3333.0
214941	6.76254e+06	-400.0	3333.0
214949	6.76257e+06	-400.0	3333.0
214957	6.76259e+06	-400.0	3333.0
213414	6.75776e+06	-400.0	4444.0
213422	6.75778e+06	-400.0	4444.0
213429	6.75781e+06	-400.0	4444.0
213437	6.75783e+06	-400.0	4444.0
213445	6.75785e+06	-400.0	4444.0
213453	6.75788e+06	-400.0	4444.0
213460	6.7579e+06	-400.0	4444.0
213468	6.75793e+06	-400.0	4444.0
213476	6.75795e+06	-400.0	4444.0
213483	6.75797e+06	-400.0	4444.0
213491	6.758e+06	-400.0	4444.0
213499	6.75802e+06	-400.0	4444.0
213507	6.75804e+06	-400.0	4444.0
213514	6.75807e+06	-400.0	4444.0
213522	6.75809e+06	-400.0	4444.0
213530	6.75812e+06	-400.0	4444.0
213537	6.75814e+06	-400.0	4444.0
213545	6.75816e+06	-400.0	4444.0
213553	6.75819e+06	-400.0	4444.0
213561	6.75821e+06	-400.0	4444.0
213568	6.75823e+06	-400.0	4444.0
213576	6.75826e+06	-400.0	4444.0
213584	6.75828e+06	-400.0	4444.0
213591	6.75831e+06	-400.0	4444.0
213599	6.75833e+06	-400.0	4444.0
213607	6.75835e+06	-400.0	4444.0
213615	6.75838e+06	-400.0	4444.0
213622	6.7584e+06	-400.0	4444.0
213630	6.75842e+06	-400.0	4444.0
213638	6.75845e+06	-400.0	4444.0
213645	6.75847e+06	-400.0	4444.0
213653	6.7585e+06	-400.0	4444.0
213661	6.75852e+06	-400.0	4444.0
213669	6.75854e+06	-400.0	4444.0
213676	6.75857e+06	-400.0	4444.0
213684	6.75859e+06	-400.0	4444.0
213692	6.75861e+06	-400.0	4444.0
213700	6.75864e+06	-400.0	4444.0
213707	6.75866e+06	-400.0	4444.0
213715	6.75869e+06	-400.0	4444.0
213723	6.75871e+06	-400.0	4444.0
213730	6.75873e+06	-400.0	4444.0
213738	6.75876e+06	-400.0	4444.0
213746	6.75878e+06	-400.0	4444.0
213754	6.7588e+06	-400.0	4444.0
213761	6.75883e+06	-400.0	4444.0
213769	6.75885e+06	-400.0	4444.0
213777	6.75888e+06	-400.0	4444.0
213784	6.7589e+06	-400.0	4444.0
213792	6.75892e+06	-400.0	4444.0
213800	6.75895e+06	-400.0	4444.0
213808	6.75897e+06	-400.0	4444.0
