solver,solver_label,runtime_backend,surface_interaction_model,elapsed_days,recharge_mm_day,recharge_flux_m3_day,surface_excess_flux_m3_day,east_boundary_outflow_m3_day,total_outflow_m3_day,storage_balance_m3_day,total_overflow_m3_day,active_overflow_length_m,overflow_front_x_m,overflow_centroid_x_m,max_head_clearance_m
petsc,PETSc complementarity,petsc,complementarity,28.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.5623044872957053
petsc,PETSc complementarity,petsc,complementarity,29.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.6045064846079882
petsc,PETSc complementarity,petsc,complementarity,30.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.6444808899180909
petsc,PETSc complementarity,petsc,complementarity,31.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.6823162429638776
petsc,PETSc complementarity,petsc,complementarity,32.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.7181371006007735
petsc,PETSc complementarity,petsc,complementarity,33.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.7520804981041991
petsc,PETSc complementarity,petsc,complementarity,34.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.7842835904560657
petsc,PETSc complementarity,petsc,complementarity,35.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.8148774747252059
petsc,PETSc complementarity,petsc,complementarity,36.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.8439844032330228
petsc,PETSc complementarity,petsc,complementarity,37.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.8717168305613683
petsc,PETSc complementarity,petsc,complementarity,38.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.8981774258724027
petsc,PETSc complementarity,petsc,complementarity,39.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.9227160720963061
petsc,PETSc complementarity,petsc,complementarity,40.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.9456213984598749
